GO-term	Name	Category	P-value	ProteinAccessions	ProteinNames
GO:0005775	vacuolar lumen	cellular_component	0.0063449750506391145	P00387|P06280|Q99519|P50897|Q92820|P61916|Q9H7Z7|	CYB5R3|GLA|NEU1|PPT1|GGH|NPC2|PTGES2|
GO:0005777	peroxisome	cellular_component	0.23573361726507117	O95573|P14735|O00116|O14975|Q2T9J0|	ACSL3|IDE|AGPS|SLC27A2|TYSND1|
GO:0005778	peroxisomal membrane	cellular_component	0.8088205323061611	O95573|O00116|O14975|	ACSL3|AGPS|SLC27A2|
GO:0005782	peroxisomal matrix	cellular_component	0.005483653277737073	P14735|O00116|Q2T9J0|	IDE|AGPS|TYSND1|
GO:0005783	endoplasmic reticulum	cellular_component	0.8631329341337346	P61586|Q15904|P12109|P00387|P27105|O95573|P35555|P09601|Q08431|O00469|P16435|P62820|P61019|P52306|O76094|O76024|Q13724|Q00765|O76061|Q9H4P4|Q9Y4L1|P61916|P61026|Q13438|Q12907|O14975|Q9NP72|Q8N766|Q9BS26|Q96S66|Q8TEM1|Q96DZ1|P61106|Q9NQC3|Q9H173|Q8NBJ5|Q8IWF2|Q9BZQ6|Q96HR9|	RHOA|ATP6AP1|COL6A1|CYB5R3|STOM|ACSL3|FBN1|HMOX1|MFGE8|PLOD2|POR|RAB1A|RAB2A|RAP1GDS1|SRP72|WFS1|MOGS|REEP5|STC2|RNF41|HYOU1|NPC2|RAB10|OS9|LMAN2|SLC27A2|RAB18|EMC1|ERP44|CLCC1|NUP210|ERLEC1|RAB14|RTN4|SIL1|COLGALT1|FOXRED2|EDEM3|REEP6|
GO:0005786	signal recognition particle, endoplasmic reticulum targeting	cellular_component	0.0027645561644255995	P09132|P61011|O76094|	SRP19|SRP54|SRP72|
GO:0005788	endoplasmic reticulum lumen	cellular_component	0.6088606306448203	P12109|P35555|Q08431|O76024|O76061|Q9Y4L1|Q13438|O14975|Q9BS26|Q96DZ1|Q9H173|Q8NBJ5|Q8IWF2|Q9BZQ6|	COL6A1|FBN1|MFGE8|WFS1|STC2|HYOU1|OS9|SLC27A2|ERP44|ERLEC1|SIL1|COLGALT1|FOXRED2|EDEM3|
GO:0005789	endoplasmic reticulum membrane	cellular_component	0.7989151045531622	P61586|Q15904|P00387|O95573|P09601|O00469|P16435|P62820|P61019|O76024|Q13724|P61026|Q13438|Q12907|O14975|Q9NP72|Q8N766|Q9BS26|Q8TEM1|Q9NQC3|Q96HR9|	RHOA|ATP6AP1|CYB5R3|ACSL3|HMOX1|PLOD2|POR|RAB1A|RAB2A|WFS1|MOGS|RAB10|OS9|LMAN2|SLC27A2|RAB18|EMC1|ERP44|NUP210|RTN4|REEP6|
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	cellular_component	0.16384432474942198	Q15904|Q08379|Q14789|P61019|Q12907|Q9BS26|Q9BQQ3|	ATP6AP1|GOLGA2|GOLGB1|RAB2A|LMAN2|ERP44|GORASP1|
GO:0005794	Golgi apparatus	cellular_component	0.08978626136569895	P62330|P55085|O95573|P06280|Q08379|Q14789|P61006|P50897|P62820|P61019|O75534|P51149|O00203|O76061|Q5VU43|Q99996|O43823|P61026|Q12907|O14578|Q9NP72|Q96S66|Q9NY61|Q7Z5G4|P61106|Q96SN8|Q9BQQ3|Q9H7Z7|	ARF6|F2RL1|ACSL3|GLA|GOLGA2|GOLGB1|RAB8A|PPT1|RAB1A|RAB2A|CSDE1|RAB7A|AP3B1|STC2|PDE4DIP|AKAP9|AKAP8|RAB10|LMAN2|CIT|RAB18|CLCC1|AATF|GOLGA7|RAB14|CDK5RAP2|GORASP1|PTGES2|
GO:0005795	Golgi stack	cellular_component	0.22065269934268322	Q08379|Q14789|Q99996|O14578|Q7Z5G4|P61106|	GOLGA2|GOLGB1|AKAP9|CIT|GOLGA7|RAB14|
GO:0005798	Golgi-associated vesicle	cellular_component	0.002241050973121631	Q08379|P61006|Q12907|P61106|	GOLGA2|RAB8A|LMAN2|RAB14|
GO:0005801	cis-Golgi network	cellular_component	0.029419016654363854	Q08379|Q14789|Q99996|	GOLGA2|GOLGB1|AKAP9|
GO:0005802	trans-Golgi network	cellular_component	0.0027645561644255995	P61006|P61026|P61106|	RAB8A|RAB10|RAB14|
GO:0005811	lipid droplet	cellular_component	0.862169673729559	P00387|O95573|P51148|P51149|	CYB5R3|ACSL3|RAB5C|RAB7A|
GO:0005813	centrosome	cellular_component	1.9241407824380429E-13	P49454|P61006|O95613|P17612|P13861|P31323|Q5VU43|Q66GS9|Q5VT06|Q99996|Q96CW5|Q9BSJ2|Q7Z7A1|O95684|Q9BV73|Q9Y2I6|Q76N32|P37198|Q8N4C6|Q96SN8|Q86YT6|Q8TD19|	CENPF|RAB8A|PCNT|PRKACA|PRKAR2A|PRKAR2B|PDE4DIP|CEP135|CEP350|AKAP9|TUBGCP3|TUBGCP2|CNTRL|FGFR1OP|CEP250|NINL|CEP68|NUP62|NIN|CDK5RAP2|MIB1|NEK9|
GO:0005814	centriole	cellular_component	1.4834886430973601E-6	P61006|O95613|Q66GS9|Q5VT06|Q96CW5|O95684|Q9BV73|Q8N4C6|	RAB8A|PCNT|CEP135|CEP350|TUBGCP3|FGFR1OP|CEP250|NIN|
GO:0005815	microtubule organizing center	cellular_component	1.9241407824380429E-13	P49454|P61006|O95613|P17612|P13861|P31323|Q5VU43|Q66GS9|Q5VT06|Q99996|Q96CW5|Q9BSJ2|Q7Z7A1|O95684|Q9BV73|Q9Y2I6|Q76N32|P37198|Q8N4C6|Q96SN8|Q86YT6|Q8TD19|	CENPF|RAB8A|PCNT|PRKACA|PRKAR2A|PRKAR2B|PDE4DIP|CEP135|CEP350|AKAP9|TUBGCP3|TUBGCP2|CNTRL|FGFR1OP|CEP250|NINL|CEP68|NUP62|NIN|CDK5RAP2|MIB1|NEK9|
GO:0005819	spindle	cellular_component	0.010655349418326404	P49454|Q08379|P78406|Q5VT06|Q96CW5|Q9BSJ2|P37198|Q8N4C6|Q96SN8|	CENPF|GOLGA2|RAE1|CEP350|TUBGCP3|TUBGCP2|NUP62|NIN|CDK5RAP2|
GO:0005829	cytosol	cellular_component	0.001419970192277085	O94973|P62330|P61586|P38606|P49454|Q96CW1|P19784|P67870|P00387|P55789|P62873|P09601|P14735|P27448|P61006|Q9HCE1|Q99567|P52948|O95613|P09884|P16435|P50897|P17612|P13861|P31323|P48556|P62820|P61019|P52306|Q92900|P09132|P61011|O76094|Q04724|Q15056|O75534|P51149|P35658|Q13617|O00116|Q13546|Q13310|Q92820|Q66GS9|Q9UN86|P62877|Q99996|Q13283|Q9H4P4|P61970|P61962|Q96CW5|O95391|Q9BSJ2|P61026|O14975|Q7Z7A1|O14578|O95684|Q9BV73|Q96B26|Q9NP72|Q9Y2I6|Q76N32|Q92615|Q9NU22|Q13868|O60885|Q14181|Q9Y3U8|P11940|Q9NZL9|Q9UHD2|Q9NQT5|Q9Y375|Q9BQ95|P61106|Q9NXK8|Q96SN8|Q9NQT4|Q86YT6|Q9H773|Q8TAD8|Q9H7Z7|Q8TD19|Q4KMQ2|Q2T9J0|	AP2A2|ARF6|RHOA|ATP6V1A|CENPF|AP2M1|CSNK2A2|CSNK2B|CYB5R3|GFER|GNB1|HMOX1|IDE|MARK3|RAB8A|MOV10|NUP88|NUP98|PCNT|POLA1|POR|PPT1|PRKACA|PRKAR2A|PRKAR2B|PSMD8|RAB1A|RAB2A|RAP1GDS1|UPF1|SRP19|SRP54|SRP72|TLE1|EIF4H|CSDE1|RAB7A|NUP214|CUL2|AGPS|RIPK1|PABPC4|GGH|CEP135|G3BP2|RBX1|AKAP9|G3BP1|RNF41|NUTF2|DCAF7|TUBGCP3|SLU7|TUBGCP2|RAB10|SLC27A2|CNTRL|CIT|FGFR1OP|CEP250|EXOSC8|RAB18|NINL|CEP68|LARP4B|MDN1|EXOSC2|BRD4|POLA2|RPL36|PABPC1|MAT2B|TBK1|EXOSC3|NDUFAF1|ECSIT|RAB14|FBXL12|CDK5RAP2|EXOSC5|MIB1|DCTPP1|SNIP1|PTGES2|NEK9|ANO6|TYSND1|
GO:0005840	ribosome	cellular_component	5.941271042055359E-5	Q92552|Q92615|Q9Y3U8|Q9Y399|P82663|P82675|	MRPS27|LARP4B|RPL36|MRPS2|MRPS25|MRPS5|
GO:0005844	polysome	cellular_component	0.005483653277737073	Q15056|Q92615|Q9Y3U8|	EIF4H|LARP4B|RPL36|
GO:0005856	cytoskeleton	cellular_component	3.477777682554417E-7	P61586|P49454|Q7KZI7|P27105|Q08379|P13984|Q9P0L2|P61006|O95613|P17612|P13861|P31323|P35241|P78406|O14745|Q5VU43|Q66GS9|Q5VT06|Q99996|Q96CW5|Q9BSJ2|Q7Z7A1|O95684|Q9BV73|Q9Y2I6|O75592|Q76N32|Q9NU22|P37198|Q9UJZ1|Q8N4C6|Q96SN8|Q86YT6|Q8TD19|	RHOA|CENPF|MARK2|STOM|GOLGA2|GTF2F2|MARK1|RAB8A|PCNT|PRKACA|PRKAR2A|PRKAR2B|RDX|RAE1|SLC9A3R1|PDE4DIP|CEP135|CEP350|AKAP9|TUBGCP3|TUBGCP2|CNTRL|FGFR1OP|CEP250|NINL|MYCBP2|CEP68|MDN1|NUP62|STOML2|NIN|CDK5RAP2|MIB1|NEK9|
GO:0005874	microtubule	cellular_component	7.541283084107742E-5	Q08379|O95613|Q96CW5|Q9BSJ2|Q9Y2I6|Q8N4C6|Q96SN8|	GOLGA2|PCNT|TUBGCP3|TUBGCP2|NINL|NIN|CDK5RAP2|
GO:0005886	plasma membrane	cellular_component	4.165037154849098E-8	O94973|P62330|P61586|P05026|P38606|Q96CW1|P12109|P19784|P67870|Q7KZI7|P27105|P55085|P62873|P63218|P09601|P14735|P05556|Q9P0L2|P27448|P61006|Q08431|Q99519|P17612|P13861|P31323|P51148|P11233|P35241|O75534|P51149|Q13546|O14745|Q99996|P61026|Q12907|O14975|O14578|Q9NP72|Q9UJZ1|Q8N4C6|P61106|Q9NQC3|Q8IWA5|Q86YT6|Q4KMQ2|	AP2A2|ARF6|RHOA|ATP1B1|ATP6V1A|AP2M1|COL6A1|CSNK2A2|CSNK2B|MARK2|STOM|F2RL1|GNB1|GNG5|HMOX1|IDE|ITGB1|MARK1|MARK3|RAB8A|MFGE8|NEU1|PRKACA|PRKAR2A|PRKAR2B|RAB5C|RALA|RDX|CSDE1|RAB7A|RIPK1|SLC9A3R1|AKAP9|RAB10|LMAN2|SLC27A2|CIT|RAB18|STOML2|NIN|RAB14|RTN4|SLC44A2|MIB1|ANO6|
GO:0005887	integral component of plasma membrane	cellular_component	0.019236918866346736	P05026|P27105|P55085|P05556|Q99996|Q12907|	ATP1B1|STOM|F2RL1|ITGB1|AKAP9|LMAN2|
GO:0005902	microvillus	cellular_component	0.10579091461789708	P38606|P35241|O14745|	ATP6V1A|RDX|SLC9A3R1|
GO:0005911	cell-cell junction	cellular_component	0.00701751291606698	P61586|P05026|P05556|P35241|P61026|	RHOA|ATP1B1|ITGB1|RDX|RAB10|
GO:0005912	adherens junction	cellular_component	0.0043942985616016225	P62330|P61586|P05556|P13861|P11233|P35241|P35658|Q13283|Q9Y4L1|P61026|P11940|	ARF6|RHOA|ITGB1|PRKAR2A|RALA|RDX|NUP214|G3BP1|HYOU1|RAB10|PABPC1|
GO:0005924	cell-substrate adherens junction	cellular_component	0.0043942985616016225	P62330|P61586|P05556|P13861|P11233|P35241|P35658|Q13283|Q9Y4L1|P61026|P11940|	ARF6|RHOA|ITGB1|PRKAR2A|RALA|RDX|NUP214|G3BP1|HYOU1|RAB10|PABPC1|
GO:0005925	focal adhesion	cellular_component	0.0043942985616016225	P62330|P61586|P05556|P13861|P11233|P35241|P35658|Q13283|Q9Y4L1|P61026|P11940|	ARF6|RHOA|ITGB1|PRKAR2A|RALA|RDX|NUP214|G3BP1|HYOU1|RAB10|PABPC1|
GO:0005929	cilium	cellular_component	4.38164261404946E-7	P49454|P67870|P62873|P61006|P17612|P13861|P31323|O14745|P61026|Q7Z7A1|Q9BV73|Q8N4C6|	CENPF|CSNK2B|GNB1|RAB8A|PRKACA|PRKAR2A|PRKAR2B|SLC9A3R1|RAB10|CNTRL|CEP250|NIN|
GO:0005930	axoneme	cellular_component	0.04692563119074478	P49454|P17612|P13861|	CENPF|PRKACA|PRKAR2A|
GO:0005938	cell cortex	cellular_component	0.007191424628330708	P62330|P61586|P35241|P61026|	ARF6|RHOA|RDX|RAB10|
GO:0005952	cAMP-dependent protein kinase complex	cellular_component	0.0027645561644255995	P17612|P13861|P31323|	PRKACA|PRKAR2A|PRKAR2B|
GO:0005975	carbohydrate metabolic process	biological_process	0.014437697720659228	P00387|P06280|Q99519|Q13724|	CYB5R3|GLA|NEU1|MOGS|
GO:0006082	organic acid metabolic process	biological_process	0.9806364225218552	P11310|P00387|P13804|O95573|O00469|P16435|P31323|Q92820|Q9UDR5|O14975|Q9H845|Q5VT66|Q9H7Z7|	ACADM|CYB5R3|ETFA|ACSL3|PLOD2|POR|PRKAR2B|GGH|AASS|SLC27A2|ACAD9|MARC1|PTGES2|
GO:0006091	generation of precursor metabolites and energy	biological_process	0.9751829548915667	P13804|Q9Y6M9|P16435|O75439|Q9UJZ1|Q9Y375|Q9H7Z7|Q8N183|	ETFA|NDUFB9|POR|PMPCB|STOML2|NDUFAF1|PTGES2|NDUFAF2|
GO:0006119	oxidative phosphorylation	biological_process	0.9891465733374017	Q9Y6M9|O75439|Q9UJZ1|Q9Y375|	NDUFB9|PMPCB|STOML2|NDUFAF1|
GO:0006139	nucleobase-containing compound metabolic process	biological_process	0.3981164268880438	P61586|P05026|P38606|P49454|P26358|O95573|P13984|Q9HCE1|Q9Y6M9|P52948|P09884|P50897|P49642|P49643|P17612|Q92900|O75534|Q13310|O43818|O75439|P62877|Q13283|Q9UDR5|O00566|Q6UX04|O95391|Q96B26|Q9NU22|Q13868|P37198|Q14181|Q9Y3U8|Q8NEJ9|P11940|Q9UJZ1|Q9NQT5|Q9Y375|Q9H2H8|Q9NW13|Q9NQT4|Q9H773|Q8TAD8|Q9BSC4|Q96HW7|	RHOA|ATP1B1|ATP6V1A|CENPF|DNMT1|ACSL3|GTF2F2|MOV10|NDUFB9|NUP98|POLA1|PPT1|PRIM1|PRIM2|PRKACA|UPF1|CSDE1|PABPC4|RRP9|PMPCB|RBX1|G3BP1|AASS|MPHOSPH10|CWC27|SLU7|EXOSC8|MDN1|EXOSC2|NUP62|POLA2|RPL36|NGDN|PABPC1|STOML2|EXOSC3|NDUFAF1|PPIL3|RBM28|EXOSC5|DCTPP1|SNIP1|NOL10|INTS4|
GO:0006163	purine nucleotide metabolic process	biological_process	0.9839018114342166	P61586|P05026|P38606|O95573|Q9Y6M9|P50897|O75439|Q9UDR5|Q9UJZ1|Q9Y375|	RHOA|ATP1B1|ATP6V1A|ACSL3|NDUFB9|PPT1|PMPCB|AASS|STOML2|NDUFAF1|
GO:0006164	purine nucleotide biosynthetic process	biological_process	0.9982563748886641	O95573|P50897|Q9UJZ1|	ACSL3|PPT1|STOML2|
GO:0006259	DNA metabolic process	biological_process	0.2738890011697067	P49454|P26358|P52948|P09884|P49642|P49643|Q92900|P62877|Q14181|Q9NQT5|Q9NQT4|Q9H773|	CENPF|DNMT1|NUP98|POLA1|PRIM1|PRIM2|UPF1|RBX1|POLA2|EXOSC3|EXOSC5|DCTPP1|
GO:0006260	DNA replication	biological_process	4.814350215402464E-4	P52948|P09884|P49642|P49643|Q92900|Q14181|	NUP98|POLA1|PRIM1|PRIM2|UPF1|POLA2|
GO:0006261	DNA-dependent DNA replication	biological_process	9.800823918495554E-4	P09884|P49642|P49643|Q92900|Q14181|	POLA1|PRIM1|PRIM2|UPF1|POLA2|
GO:0006269	DNA replication, synthesis of RNA primer	biological_process	0.0027645561644255995	P09884|P49642|P49643|	POLA1|PRIM1|PRIM2|
GO:0006281	DNA repair	biological_process	0.5687425224365713	P09884|Q92900|P62877|	POLA1|UPF1|RBX1|
GO:0006304	DNA modification	biological_process	0.2703766711819732	P26358|Q9NQT5|Q9NQT4|	DNMT1|EXOSC3|EXOSC5|
GO:0006325	chromatin organization	biological_process	0.0023866613017287396	P26358|Q92769|P25440|O60885|	DNMT1|HDAC2|BRD2|BRD4|
GO:0006351	transcription, DNA-templated	biological_process	9.800823918495554E-4	P13984|P37198|Q96HW7|	GTF2F2|NUP62|INTS4|
GO:0006354	DNA-templated transcription, elongation	biological_process	0.0027645561644255995	P13984|	GTF2F2|
GO:0006355	regulation of transcription, DNA-templated	biological_process	0.5155338260266824	Q08117|P61586|P49454|P26358|P55085|P35555|Q14789|P13984|Q92769|P09601|P09884|P25440|Q04724|Q04726|O76024|O75534|Q13617|Q13546|Q9UN86|P62877|Q9H4P4|O60885|P37198|Q9NY61|Q9UHD2|Q96SN8|Q8TAD8|Q9H7Z7|	AES|RHOA|CENPF|DNMT1|F2RL1|FBN1|GOLGB1|GTF2F2|HDAC2|HMOX1|POLA1|BRD2|TLE1|TLE3|WFS1|CSDE1|CUL2|RIPK1|G3BP2|RBX1|RNF41|BRD4|NUP62|AATF|TBK1|CDK5RAP2|SNIP1|PTGES2|
GO:0006357	regulation of transcription by RNA polymerase II	biological_process	0.17576823715646162	Q08117|P61586|P26358|P55085|P35555|P13984|Q92769|P09601|P25440|O76024|Q13617|Q13546|P62877|O60885|Q9NY61|Q9UHD2|	AES|RHOA|DNMT1|F2RL1|FBN1|GTF2F2|HDAC2|HMOX1|BRD2|WFS1|CUL2|RIPK1|RBX1|BRD4|AATF|TBK1|
GO:0006364	rRNA processing	biological_process	5.400156627764014E-7	O43818|O00566|Q96B26|Q9NU22|Q13868|Q8NEJ9|Q9NQT5|Q9NQT4|Q9BSC4|	RRP9|MPHOSPH10|EXOSC8|MDN1|EXOSC2|NGDN|EXOSC3|EXOSC5|NOL10|
GO:0006366	transcription by RNA polymerase II	biological_process	9.453907217392126E-4	P13984|Q96HW7|	GTF2F2|INTS4|
GO:0006368	transcription elongation from RNA polymerase II promoter	biological_process	0.0027645561644255995	P13984|	GTF2F2|
GO:0006396	RNA processing	biological_process	0.006222279936443905	P13984|P17612|Q13310|O43818|O00566|Q6UX04|O95391|Q96B26|Q9NU22|Q13868|Q8NEJ9|P11940|Q9NQT5|Q9H2H8|Q9NW13|Q9NQT4|Q8TAD8|Q9BSC4|Q96HW7|	GTF2F2|PRKACA|PABPC4|RRP9|MPHOSPH10|CWC27|SLU7|EXOSC8|MDN1|EXOSC2|NGDN|PABPC1|EXOSC3|PPIL3|RBM28|EXOSC5|SNIP1|NOL10|INTS4|
GO:0006397	mRNA processing	biological_process	0.07142145680115256	P13984|P17612|Q6UX04|O95391|P11940|Q9H2H8|Q9NW13|	GTF2F2|PRKACA|CWC27|SLU7|PABPC1|PPIL3|RBM28|
GO:0006399	tRNA metabolic process	biological_process	0.0027645561644255995	Q96B26|Q13868|Q9NQT5|	EXOSC8|EXOSC2|EXOSC3|
GO:0006401	RNA catabolic process	biological_process	3.260578969560154E-6	Q92900|O75534|Q13310|Q96B26|Q13868|Q9Y3U8|P11940|Q9NQT5|Q9NQT4|	UPF1|CSDE1|PABPC4|EXOSC8|EXOSC2|RPL36|PABPC1|EXOSC3|EXOSC5|
GO:0006402	mRNA catabolic process	biological_process	3.443880862342036E-6	Q92900|O75534|Q96B26|Q13868|Q9Y3U8|P11940|Q9NQT5|Q9NQT4|	UPF1|CSDE1|EXOSC8|EXOSC2|RPL36|PABPC1|EXOSC3|EXOSC5|
GO:0006403	RNA localization	biological_process	5.276161708143124E-8	Q99567|P52948|Q92900|P35658|P78406|Q9UN86|P61970|O95391|Q8TEM1|Q13868|P37198|Q9NQT5|Q7Z3B4|	NUP88|NUP98|UPF1|NUP214|RAE1|G3BP2|NUTF2|SLU7|NUP210|EXOSC2|NUP62|EXOSC3|NUP54|
GO:0006405	RNA export from nucleus	biological_process	8.593882150755825E-8	Q99567|P52948|Q92900|P35658|P78406|O95391|Q8TEM1|P37198|Q7Z3B4|	NUP88|NUP98|UPF1|NUP214|RAE1|SLU7|NUP210|NUP62|NUP54|
GO:0006406	mRNA export from nucleus	biological_process	8.593882150755825E-8	Q99567|P52948|Q92900|P35658|P78406|O95391|Q8TEM1|P37198|Q7Z3B4|	NUP88|NUP98|UPF1|NUP214|RAE1|SLU7|NUP210|NUP62|NUP54|
GO:0006412	translation	biological_process	2.4830142833603453E-5	Q15056|Q13310|Q92552|Q9Y3U8|P11940|Q9Y399|P82663|P82675|	EIF4H|PABPC4|MRPS27|RPL36|PABPC1|MRPS2|MRPS25|MRPS5|
GO:0006413	translational initiation	biological_process	0.0027645561644255995	Q15056|Q9Y3U8|P11940|	EIF4H|RPL36|PABPC1|
GO:0006414	translational elongation	biological_process	3.678756898097148E-4	Q92552|Q9Y399|P82663|P82675|	MRPS27|MRPS2|MRPS25|MRPS5|
GO:0006415	translational termination	biological_process	3.678756898097148E-4	Q92552|Q9Y399|P82663|P82675|	MRPS27|MRPS2|MRPS25|MRPS5|
GO:0006417	regulation of translation	biological_process	0.016934237733518456	P61586|Q9HCE1|Q92900|Q15056|Q92552|Q92615|Q8NEJ9|P11940|	RHOA|MOV10|UPF1|EIF4H|MRPS27|LARP4B|NGDN|PABPC1|
GO:0006457	protein folding	biological_process	0.7334820494637808	P62873|O76024|Q13724|Q6UX04|Q8N766|Q9BS26|Q9H2H8|Q9H173|Q9HAV7|Q96DA6|	GNB1|WFS1|MOGS|CWC27|EMC1|ERP44|PPIL3|SIL1|GRPEL1|DNAJC19|
GO:0006464	cellular protein modification process	biological_process	0.001428415516891253	P61586|P19784|P67870|Q7KZI7|P35555|Q08379|Q92769|Q9P0L2|P27448|P61006|Q08431|O00469|P16435|P50897|P17612|P48556|P62820|P61019|O76024|Q13724|Q13617|O76061|Q13546|P62877|Q99996|Q9H4P4|P61962|Q6UX04|Q13438|Q7Z7A1|O14578|O95684|O75592|O60885|Q9ULT8|Q9UHD2|Q7Z5G4|Q9H2H8|Q9NXK8|Q86YT6|Q9BQQ3|Q9C0D3|Q9BZQ6|Q8TD19|	RHOA|CSNK2A2|CSNK2B|MARK2|FBN1|GOLGA2|HDAC2|MARK1|MARK3|RAB8A|MFGE8|PLOD2|POR|PPT1|PRKACA|PSMD8|RAB1A|RAB2A|WFS1|MOGS|CUL2|STC2|RIPK1|RBX1|AKAP9|RNF41|DCAF7|CWC27|OS9|CNTRL|CIT|FGFR1OP|MYCBP2|BRD4|HECTD1|TBK1|GOLGA7|PPIL3|FBXL12|MIB1|GORASP1|ZYG11B|EDEM3|NEK9|
GO:0006468	protein phosphorylation	biological_process	0.0027176254531502304	P19784|P67870|Q7KZI7|Q9P0L2|P27448|P17612|Q13546|P62877|Q99996|Q7Z7A1|O14578|O95684|O60885|Q9UHD2|Q8TD19|	CSNK2A2|CSNK2B|MARK2|MARK1|MARK3|PRKACA|RIPK1|RBX1|AKAP9|CNTRL|CIT|FGFR1OP|BRD4|TBK1|NEK9|
GO:0006469	negative regulation of protein kinase activity	biological_process	0.010269958523749992	P13861|P31323|O95684|P37198|	PRKAR2A|PRKAR2B|FGFR1OP|NUP62|
GO:0006486	protein glycosylation	biological_process	0.7143567795174552	Q08379|Q13724|Q9BQQ3|Q9BZQ6|	GOLGA2|MOGS|GORASP1|EDEM3|
GO:0006508	proteolysis	biological_process	0.33732870091645495	P61586|P14735|P52948|P48556|O76024|Q13617|Q13546|Q92820|O75439|P62877|Q9H4P4|Q13438|Q10713|Q96DZ1|Q9UJZ1|Q9NXK8|Q8IWF2|Q9BZQ6|Q2T9J0|	RHOA|IDE|NUP98|PSMD8|WFS1|CUL2|RIPK1|GGH|PMPCB|RBX1|RNF41|OS9|PMPCA|ERLEC1|STOML2|FBXL12|FOXRED2|EDEM3|TYSND1|
GO:0006511	ubiquitin-dependent protein catabolic process	biological_process	8.126159367480288E-4	P48556|O76024|Q13617|P62877|Q13438|Q96DZ1|Q9NXK8|Q8IWF2|Q9BZQ6|	PSMD8|WFS1|CUL2|RBX1|OS9|ERLEC1|FBXL12|FOXRED2|EDEM3|
GO:0006518	peptide metabolic process	biological_process	9.309635458280315E-4	P14735|Q15056|Q13310|Q92552|Q9Y3U8|P11940|Q9Y399|P82663|P82675|	IDE|EIF4H|PABPC4|MRPS27|RPL36|PABPC1|MRPS2|MRPS25|MRPS5|
GO:0006575	cellular modified amino acid metabolic process	biological_process	0.831253797884157	P11310|O00469|P16435|Q92820|	ACADM|PLOD2|POR|GGH|
GO:0006605	protein targeting	biological_process	0.03351443516426304	P14735|P09132|P61011|O76094|P51149|O00116|O00203|O75439|Q13438|O14975|Q10713|Q9Y3U8|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q7Z5G4|Q7Z3B4|Q9HAV7|Q96DA6|Q2T9J0|	IDE|SRP19|SRP54|SRP72|RAB7A|AGPS|AP3B1|PMPCB|OS9|SLC27A2|PMPCA|RPL36|TIMM10B|TIMM10|TIMM9|TIMM8B|GOLGA7|NUP54|GRPEL1|DNAJC19|TYSND1|
GO:0006606	protein import into nucleus	biological_process	1.388982985272872E-5	Q99567|P52948|P35658|P61970|P37198|Q7Z3B4|	NUP88|NUP98|NUP214|NUTF2|NUP62|NUP54|
GO:0006611	protein export from nucleus	biological_process	2.1574913243813403E-8	Q99567|P52948|Q92900|P35658|P78406|P61970|O95391|Q8TEM1|P37198|Q7Z3B4|	NUP88|NUP98|UPF1|NUP214|RAE1|NUTF2|SLU7|NUP210|NUP62|NUP54|
GO:0006612	protein targeting to membrane	biological_process	0.0346336184683428	P09132|P61011|O76094|Q9Y3U8|Q7Z5G4|	SRP19|SRP54|SRP72|RPL36|GOLGA7|
GO:0006613	cotranslational protein targeting to membrane	biological_process	3.678756898097148E-4	P09132|P61011|O76094|Q9Y3U8|	SRP19|SRP54|SRP72|RPL36|
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	biological_process	3.678756898097148E-4	P09132|P61011|O76094|Q9Y3U8|	SRP19|SRP54|SRP72|RPL36|
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation	biological_process	0.0027645561644255995	P09132|P61011|O76094|	SRP19|SRP54|SRP72|
GO:0006625	protein targeting to peroxisome	biological_process	9.453907217392126E-4	P14735|O00116|O14975|Q2T9J0|	IDE|AGPS|SLC27A2|TYSND1|
GO:0006626	protein targeting to mitochondrion	biological_process	7.231812650523854E-7	O75439|Q10713|Q9Y5J6|P62072|Q9Y5J7|Q9Y5J9|Q9HAV7|Q96DA6|	PMPCB|PMPCA|TIMM10B|TIMM10|TIMM9|TIMM8B|GRPEL1|DNAJC19|
GO:0006629	lipid metabolic process	biological_process	0.9774362799920501	P11310|P00387|P13804|O95573|P06280|Q99519|P16435|P50897|P31323|P51149|O00116|P61916|O14975|Q9H845|P61106|Q8IWA5|Q9H7Z7|	ACADM|CYB5R3|ETFA|ACSL3|GLA|NEU1|POR|PPT1|PRKAR2B|RAB7A|AGPS|NPC2|SLC27A2|ACAD9|RAB14|SLC44A2|PTGES2|
GO:0006631	fatty acid metabolic process	biological_process	0.8971791308116857	P11310|P13804|O95573|P16435|P31323|O14975|Q9H845|Q9H7Z7|	ACADM|ETFA|ACSL3|POR|PRKAR2B|SLC27A2|ACAD9|PTGES2|
GO:0006635	fatty acid beta-oxidation	biological_process	0.3448186521234654	P11310|P13804|O14975|	ACADM|ETFA|SLC27A2|
GO:0006637	acyl-CoA metabolic process	biological_process	0.3448186521234654	O95573|P50897|Q9UDR5|	ACSL3|PPT1|AASS|
GO:0006643	membrane lipid metabolic process	biological_process	0.5938024080403933	P06280|Q99519|P50897|	GLA|NEU1|PPT1|
GO:0006665	sphingolipid metabolic process	biological_process	0.5938024080403933	P06280|Q99519|P50897|	GLA|NEU1|PPT1|
